Report for PAPI_TOC_CYC, min
	DFT_buf_rec	kd_fftr2_opt	fft_four1	DFT_rec	fftw	kd_fftr2
1	692	1930	1849	676	410	2253
2	692	2066	2036	676	437	2962
3	1168	1417	2532	1026	512	3297
4	1168	2529	3345	1026	588	7015
5	3999	4987	4723	3051	949	14901
6	3999	9986	7261	3051	2104	31907
7	18853	21133	12176	13426	3852	65638
8	18853	44542	21963	13426	7398	134791
9	95962	94066	46390	66166	16326	281841
10	95962	199123	108154	66166	36109	587475
11	477603	422756	260910	330499	81805	1187354
12	477603	880448	731928	330499	205904	2487677
13	2230951	1830420	1674296	1542351	442696	5184292
14	2230951	3816214	3790711	1542351	841217	10690287
15	10719158	7985427	8471448	7540390	2031578	22059816
16	10719158	16889590	18899637	7540390	5196887	46670373
17	75978037	37968676	49584489	62467228	17693967	98152788
18	75978037	101516275	168964086	62467228	49074777	204979373
19	355770269	231254602	931589742	301111702	126065366	428841799
20	355770269	499869875	2598895553	301111702	275679214	902327567
21	1538237078	1022117000	6264246993	1300857658	691158045	1905294998
22	1538237078	2111785826	13921200839	1300857658	1519534603	3967540512
23	6631601626	4417202335	30420910852	5668450301	3139918501	8284965161
24	6631601626	9084838709	61729266766	5668450301	6553652442	17114391209

Report for PAPI_TOC_CYC, avg
	DFT_buf_rec	kd_fftr2_opt	fft_four1	DFT_rec	fftw	kd_fftr2
1	1437.700000	5500.500000	4963.900000	1329.000000	1195.000000	6113.500000
2	1437.700000	5380.200000	5347.900000	1329.000000	1267.500000	6543.700000
3	2136.900000	3137.900000	5835.600000	1744.000000	1558.500000	5135.700000
4	2136.900000	4434.000000	5688.900000	1744.000000	1595.200000	9175.700000
5	4929.900000	6360.300000	7593.900000	3803.300000	2954.900000	16991.200000
6	4929.900000	11501.200000	9486.200000	3803.300000	4394.100000	34037.800000
7	19670.600000	22548.200000	14446.200000	14142.000000	6200.100000	67689.800000
8	19670.600000	46387.400000	24563.100000	14142.000000	9981.700000	137135.800000
9	97752.200000	95593.700000	48652.500000	67251.800000	19001.400000	284571.600000
10	97752.200000	201173.600000	111214.000000	67251.800000	38619.800000	591449.600000
11	481678.700000	425936.200000	263654.900000	333034.500000	84271.900000	1192932.200000
12	481678.700000	883673.700000	735595.700000	333034.500000	210737.300000	2497089.600000
13	2252943.600000	1838543.100000	1687559.400000	1554617.600000	448139.900000	5203887.800000
14	2252943.600000	3877386.900000	3798723.300000	1554617.600000	853577.100000	10725814.200000
15	10969399.300000	8040079.700000	8493375.000000	7774372.300000	2075061.200000	22182224.500000
16	10969399.300000	16987577.000000	18932738.300000	7774372.300000	5420242.900000	46857396.500000
17	76046228.000000	38585346.600000	49881919.600000	62524617.600000	19779260.000000	98377973.600000
18	76046228.000000	102473034.200000	175029397.800000	62524617.600000	54510645.300000	208443522.700000
19	356145134.600000	232597828.500000	936280980.200000	301472254.400000	137422710.800000	437253167.900000
20	356145134.600000	501348728.600000	2604773473.600000	301472254.400000	299757887.100000	929703411.700000
21	1539681137.400000	1027707994.900000	6368113843.300000	1301767073.500000	738621151.400000	1935232908.500000
22	1539681137.400000	2115989356.400000	14203038486.299999	1301767073.500000	1621498614.900000	4013949683.900000
23	6637338928.000000	4424023497.700000	30809906332.299999	5673154463.400000	3348129730.800000	8360269636.200000
24	6637338928.000000	9113450596.000000	65674777595.699997	5673154463.400000	6988507498.700000	17246193786.799999

Report for PAPI_TOC_CYC, max
	DFT_buf_rec	kd_fftr2_opt	fft_four1	DFT_rec	fftw	kd_fftr2
1	7742	36234	32032	6865	7475	38532
2	7742	33717	34023	6865	8017	37277
3	9936	18045	34347	7569	10354	20070
4	9936	20667	25708	7569	10124	26029
5	12593	17612	32028	10055	20065	34469
6	12593	24114	28053	10055	23524	49686
7	25942	34334	33527	19670	25829	82690
8	25942	60995	46595	19670	31573	154876
9	111168	107936	67544	75424	40513	307261
10	111168	216187	135903	75424	59435	620450
11	508892	446644	285322	353161	102631	1236223
12	508892	909473	754936	353161	248746	2541102
13	2421267	1905809	1762507	1651789	490088	5254912
14	2421267	4019332	3826605	1651789	946461	10939888
15	11855347	8255086	8572248	8702731	2339645	22609282
16	11855347	17534369	19075634	8702731	6068765	47209761
17	76350865	41188201	50870749	62761458	20337084	98672256
18	76350865	103791028	210049347	62761458	55192198	209485245
19	358909252	235418598	976164912	303734930	138763387	439352394
20	358909252	504417151	2644817652	303734930	302574540	934525012
21	1549965409	1040032950	6486110918	1308555715	744416118	1940374089
22	1549965409	2133216114	14614946018	1308555715	1635733246	4026169852
23	6681998356	4463085723	31464182034	5704811509	3372794779	8375056065
24	6681998356	9126135191	67353856749	5704811509	7085699053	17267571720

Report for PAPI_TOT_INS, min
	DFT_buf_rec	kd_fftr2_opt	fft_four1	DFT_rec	fftw	kd_fftr2
1	618	1839	1692	614	226	2392
2	618	2110	2059	614	266	3824
3	1674	1633	2635	1333	369	5795
4	1674	3369	3716	1333	657	12903
5	8176	7177	5903	5517	1333	27645
6	8176	15593	10648	5517	3453	59622
7	43232	33897	20853	27485	7218	124837
8	43232	73449	42974	27485	15589	260191
9	219648	158441	90479	136285	35330	540747
10	219648	340201	192472	136285	81470	1121576
11	1070080	727273	410001	655197	173142	2322709
12	1070080	1548521	872954	655197	381123	4790754
13	5050880	3285225	1853699	3065693	830867	9924393
14	5050880	6947049	3926380	3065693	1779422	20480148
15	23290369	14647530	8292118	14047070	3839187	42221863
16	23290369	30802155	17467264	14047070	8237987	86966440
17	105513483	64618734	36700782	63330150	17576101	178978100
18	105513483	135266552	76940010	63330150	37037403	368047066
19	471466552	282591501	160954573	281892748	78562488	756276920
20	471466552	589300024	336067176	281892748	166080978	1552921083
21	2083521268	1226834355	700442445	1241864234	349766169	3186599937
22	2083521268	2550137401	1457515628	1241864234	729697702	6534713806
23	9124709922	5293212582	3028273968	5424634593	1531200443	13392455131
24	9124709922	10972300951	6283058952	5424634593	3205699089	27430964763

Report for PAPI_TOT_INS, avg
	DFT_buf_rec	kd_fftr2_opt	fft_four1	DFT_rec	fftw	kd_fftr2
1	833.200000	2182.400000	1972.800000	829.200000	441.300000	2842.800000
2	833.200000	2453.400000	2339.900000	829.200000	481.300000	4300.000000
3	1889.200000	1975.800000	2915.900000	1548.200000	584.400000	6291.500000
4	1889.200000	3711.800000	3996.900000	1548.200000	872.300000	13394.000000
5	8391.200000	7519.700000	6183.900000	5732.200000	1548.500000	28135.700000
6	8391.200000	15935.700000	10928.900000	5732.200000	3668.600000	59992.600000
7	43447.200000	34239.700000	21133.900000	27700.200000	7433.600000	125207.800000
8	43447.200000	73791.800000	43254.900000	27700.200000	15804.700000	260561.900000
9	219863.500000	158783.800000	90759.900000	136500.500000	35545.700000	541118.400000
10	219863.500000	340544.000000	192752.900000	136500.500000	81686.000000	1121948.500000
11	1070296.900000	727616.500000	410282.000000	655413.700000	173358.400000	2323150.500000
12	1070296.900000	1548865.300000	873235.000000	655413.700000	381340.400000	4791188.200000
