# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000003 033333.3  008320 000024.4 00006 000404 004.0 003.2  004224 000012.4 00003 000404 004.0 003.2  002176 000006.4 00001 000404 004.0 003.2  001152 000003.4 00000 000404 004.0 003.2
000000004 025000.0  008320 000032.5 00008 000403 004.0 003.2  004224 000016.5 00004 000404 004.0 003.2  002176 000008.5 00002 000404 004.0 003.2  001152 000004.5 00001 000404 004.0 003.2
000000005 020000.0  008320 000040.6 00010 000404 004.0 003.2  004224 000020.6 00005 000404 004.0 003.2  002176 000010.6 00002 000404 004.0 003.2  001152 000005.6 00001 000404 004.0 003.2
000000006 016666.7  008320 000048.8 00012 000404 004.0 003.2  004224 000024.8 00006 000404 004.0 003.2  002176 000012.8 00003 000404 004.0 003.2  001152 000006.8 00001 000405 004.0 003.2
000000008 012500.0  008320 000065.0 00016 000403 004.0 003.2  004224 000033.0 00008 000404 004.0 003.2  002176 000017.0 00004 000404 004.0 003.2  001152 000009.0 00002 000403 004.0 003.2
000000010 010000.0  008320 000081.2 00020 000404 004.0 003.2  004224 000041.2 00010 000404 004.0 003.2  002176 000021.2 00005 000404 004.0 003.2  001152 000011.2 00002 000404 004.0 003.2
000000012 008333.3  008320 000097.5 00024 000404 004.0 003.2  004224 000049.5 00012 000404 004.0 003.2  002176 000025.5 00006 000404 004.0 003.2  001152 000013.5 00003 000404 004.0 003.2
000000016 006250.0  008320 000130.0 00032 000404 004.0 003.2  004224 000066.0 00016 000404 004.0 003.2  002176 000034.0 00008 000404 004.0 003.2  001152 000018.0 00004 000404 004.0 003.2
000000020 005000.0  008320 000162.5 00040 000404 004.0 003.2  004224 000082.5 00020 000404 004.0 003.2  002176 000042.5 00010 000404 004.0 003.2  001152 000022.5 00005 000404 004.0 003.2
000000024 004166.7  008320 000195.0 00048 000404 004.0 003.2  004224 000099.0 00024 000404 004.0 003.2  002176 000051.0 00012 000404 004.0 003.2  001152 000027.0 00006 000404 004.0 003.2
000000032 003125.0  008320 000260.0 00065 000403 004.0 003.2  004224 000132.0 00033 000404 004.0 003.2  002176 000068.0 00017 000404 004.0 003.2  001152 000036.0 00009 000404 004.0 003.2
000000040 002500.0  008320 000325.0 00081 000404 004.0 003.2  004224 000165.0 00041 000404 004.0 003.2  002176 000085.0 00021 000403 004.0 003.2  001152 000045.0 00011 000404 004.0 003.2
000000048 002083.3  008320 000390.0 00097 000542 005.4 004.3  004224 000198.0 00049 000543 005.4 004.3  002176 000102.0 00025 000404 004.0 003.2  001152 000054.0 00013 000404 004.0 003.2
000000064 001562.5  008320 000520.0 00130 000543 005.4 004.3  004224 000264.0 00066 000543 005.4 004.3  002176 000136.0 00034 000404 004.0 003.2  001152 000072.0 00018 000404 004.0 003.2
000000080 001250.0  008320 000650.0 00162 000543 005.4 004.3  004224 000330.0 00082 000541 005.4 004.3  002176 000170.0 00042 000404 004.0 003.2  001152 000090.0 00022 000404 004.0 003.2
000000096 001041.7  008320 000780.0 00195 000540 005.4 004.3  004224 000396.0 00099 000543 005.4 004.3  002176 000204.0 00051 000472 004.7 003.8  001152 000108.0 00027 000404 004.0 003.2
000000128 000781.2  008320 001040.0 00260 000543 005.4 004.3  004224 000528.0 00132 000543 005.4 004.3  002176 000272.0 00068 000472 004.7 003.8  001152 000144.0 00036 000403 004.0 003.2
000000160 000625.0  008320 001300.0 00325 000543 005.4 004.3  004224 000660.0 00165 000543 005.4 004.3  002176 000340.0 00085 000473 004.7 003.8  001152 000180.0 00045 000426 004.3 003.4
000000192 000520.8  008320 001560.0 00390 000543 005.4 004.3  004224 000792.0 00198 000543 005.4 004.3  002176 000408.0 00102 000473 004.7 003.8  001152 000216.0 00054 000432 004.3 003.5
000000256 000390.6  008320 002080.0 00520 000545 005.5 004.4  004224 001056.0 00264 000543 005.4 004.3  002176 000544.0 00136 000473 004.7 003.8  001152 000288.0 00072 000432 004.3 003.5
000000320 000312.5  008320 002600.0 00650 001069 010.7 008.6  004224 001320.0 00330 000543 005.4 004.3  002176 000680.0 00170 000473 004.7 003.8  001152 000360.0 00090 000438 004.4 003.5
000000384 000260.4  008320 003120.0 00780 001326 013.3 010.6  004224 001584.0 00396 000545 005.5 004.4  002176 000816.0 00204 000473 004.7 003.8  001152 000432.0 00108 000438 004.4 003.5
000000512 000195.3  008320 004160.0 01040 001636 016.4 013.1  004224 002112.0 00528 000616 006.2 004.9  002176 001088.0 00272 000475 004.8 003.8  001152 000576.0 00144 000436 004.4 003.5
000000640 000156.2  008320 005200.0 01300 001964 019.6 015.7  004224 002640.0 00660 001364 013.6 010.9  002176 001360.0 00340 000672 006.7 005.4  001152 000720.0 00180 000615 006.2 004.9
000000768 000130.2  008320 006240.0 01560 002159 021.6 017.3  004224 003168.0 00792 001826 018.3 014.6  002176 001632.0 00408 000804 008.0 006.4  001152 000864.0 00216 000736 007.4 005.9
000001024 000097.7  008320 008320.0 02080 002224 022.2 017.8  004224 004224.0 01056 002096 021.0 016.8  002176 002176.0 00544 000893 008.9 007.1  001152 001152.0 00288 000737 007.4 005.9
000001280 000078.1  008320 010400.0 02600 002265 022.6 018.1  004224 005280.0 01320 002173 021.7 017.4  002176 002720.0 00680 001155 011.6 009.2  001152 001440.0 00360 000737 007.4 005.9
000001536 000065.1  008320 012480.0 03120 002273 022.7 018.2  004224 006336.0 01584 002212 022.1 017.7  002176 003264.0 00816 001248 012.5 010.0  001152 001728.0 00432 000737 007.4 005.9
000002048 000048.8  008320 016640.0 04160 002290 022.9 018.3  004224 008448.0 02112 002252 022.5 018.0  002176 004352.0 01088 001303 013.0 010.4  001152 002304.0 00576 000828 008.3 006.6
000002560 000039.1  008320 020800.0 05200 002343 023.4 018.7  004224 010560.0 02640 002291 022.9 018.3  002176 005440.0 01360 001364 013.6 010.9  001152 002880.0 00720 000946 009.5 007.6
000003072 000032.6  008320 024960.0 06240 002363 023.6 018.9  004224 012672.0 03168 002316 023.2 018.5  002176 006528.0 01632 001383 013.8 011.1  001152 003456.0 00864 000984 009.8 007.9
000004096 000024.4  008320 033280.0 08320 003015 030.1 024.1  004224 016896.0 04224 002712 027.1 021.7  002176 008704.0 02176 001445 014.4 011.6  001152 004608.0 01152 001029 010.3 008.2
000005120 000019.5  008320 041600.0 10400 003684 036.8 029.5  004224 021120.0 05280 003514 035.1 028.1  002176 010880.0 02720 002776 027.8 022.2  001152 005760.0 01440 002375 023.8 019.0
000006144 000016.3  008320 049920.0 12480 003773 037.7 030.2  004224 025344.0 06336 003672 036.7 029.4  002176 013056.0 03264 002806 028.1 022.4  001152 006912.0 01728 002389 023.9 019.1
000008192 000012.2  008320 066560.0 16640 003784 037.8 030.3  004224 033792.0 08448 003699 037.0 029.6  002176 017408.0 04352 002840 028.4 022.7  001152 009216.0 02304 002405 024.1 019.2
000010240 000009.8  008320 083200.0 20800 003779 037.8 030.2  004224 042240.0 10560 003694 036.9 029.6  002176 021760.0 05440 002865 028.6 022.9  001152 011520.0 02880 002421 024.2 019.4
000012288 000008.1  008320 099840.0 24960 003781 037.8 030.2  004224 050688.0 12672 003689 036.9 029.5  002176 026112.0 06528 002866 028.7 022.9  001152 013824.0 03456 002422 024.2 019.4
000016384 000006.1  008320 133120.0 33280 003791 037.9 030.3  004224 067584.0 16896 003687 036.9 029.5  002176 034816.0 08704 002866 028.7 022.9  001152 018432.0 04608 002444 024.4 019.6
